SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	Organism	STRAIN	SEROVAR	SEQUENCING METHOD	SEQUENCING DEPTH	STRAININFO	Culture	SYMBIONT	TYPE	PHYLOGENY	SEQUENCING STATUS	PROJECT STATUS	PHENOTYPE	RELEVANCE	DISEASE	HABITAT	PH	TEMPERATURE	ISOLATION	COUNTRY	GC(%)	AVAILABILITY	GOLDSTAMP	GOLDSTAMP OLD	GREENGENES ID	GCAT ID	TAXON ID	ENTREZ PID	IMG OID	SIZE(kb)	ORFs	CHROMOSOMES	PLASMIDS	DATA	DATABASES	INSTITUTE	FUNDING	PUBLICATION	DATE	CONTACT NAME	CONTACT EMAIL
Bacteria	Thermotogae	Thermotogales		Thermotogaceae	Petrotoga	Petrotoga mobilis	BACTERIAL	Petrotoga mobilis	SJ95t		ABI, 454	11.4x				Genome	THERMOTOGAE	Complete	complete	Rod-shaped, Thermophile, Anaerobe, Halotolerant, Motile, Nonsporulating	Evolutionary, Biotechnological, Oil industry	None	Marine, Oil fields			Production waters of a North Sea oil reservoir	USA	34.1	Public	Gc00684	Gi01028		001358_GCAT	403833	17679	640612213	2169	1898	1	0	NC_010003	NCBI	Joint Genome Institute	DOE	Unpublished 	November 21, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Burkholderiales		Comamonadaceae	Delftia	Delftia acidovorans	BACTERIAL	Delftia acidovorans	SPH-1		ABI	12.8x		ATCC 15668		Genome	PROTEOBACTERIA-BETA	Complete	complete	Aerobe, Mesophile	Biotechnological, Wastewater treatment, Oil industry	None	Soil, Sludge, Oil fields, Aquatic		30	Soil enriched with acetamide in Delft in the Netherlands	USA	66	Public	Gc00683	Gi01332		001744_GCAT	398578	17413	639857025	6767	6040	1	0	NC_010002	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	November 21, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Firmicutes	Clostridiales		Clostridiaceae	Clostridium	Clostridium phytofermentans	BACTERIAL	Clostridium phytofermentans	ISDg		ABI	13x		ATCC 700394		Genome	FIRMICUTES	Complete	complete	Anaerobe, Cellulolytic, Motile, Rod-shaped, Mesophile, Sporulating	Biotechnological, Hydrogen production, Ethanol production, Energy production, Ecological	None	Soil		37	Forest soil near the Quabbin Reservoir in Massachusetts	USA	35.9	Public	Gc00682	Gi00162		000967_GCAT	357809	16184	638341067	4847	3902	1	0	NC_010001	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	November 21, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Alteromonadales		Shewanellaceae	Shewanella	Shewanella baltica	BACTERIAL	Shewanella baltica	OS195		ABI	10x				Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Anaerobe, Rod-shaped, Motile, Facultative	Biotechnological	None	Marine		4	Baltic Sea	USA	46	Public	Gc00681	Gi00964		001489_GCAT	399599	13389	638341189	5347	4499	1	3	NC_009997	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	November 21, 2007	Richardson P	microbes@cuba.jgi-psf.org
Eukaryota	unclassified	unclassified		unclassified	Hemiselmis	Hemiselmis andersenii	EUKARYAL	Hemiselmis andersenii	CCMP644 (nucleomorph)							Genome	PROTISTS	Complete	complete		Evolutionary						Canada		Public	Gc00680			002361_GCAT	464988			571		3		NC_009977, NC_009978, NC_009979		Dalhousie Univ		PNAS in press	November 16, 2007	Archibald JM	http://myweb.dal.ca/jmarchib/
Bacteria	Cyanobacteria	Prochlorales		Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus	BACTERIAL	Prochlorococcus marinus	MIT 9211		ABI					Genome	CYANOBACTERIA	Complete	complete	Nonmotile, Carbon cycle, Mesophile	Environmental, MMI	None	Marine			Equatorial Pacific at a depth of 83m	USA	39	Public	Gc00679	Gi00872		001368_GCAT	93059	13551	638341154	1688	1855	1	0	NC_009976	NCBI, JCVI	J Craig Venter Institute, MIT	Moore Foundation	Unpublished 	November 13, 2007	Chisholm S	http://csbi.mit.edu/faculty/Members/PennyChisholm
Archaea	Euryarchaeota	Methanococcales		Methanococcaceae	Methanococcus	Methanococcus maripaludis	ARCHAEAL	Methanococcus maripaludis	C6							Genome	EURYARCHAEOTA-METHANOCOCCI	Complete	complete	Methanogen, Motile, Obligate anaerobe, Nonsporulating, Hydrogenotrophic, Nitrogen fixation, Lithotroph, Mesophile	Biotechnological, Energy production	None	Aquatic, Sediment	6.5 - 8	20 - 45	Intertidal sediments	USA	33	Public	Gc00678	Gi01307		001820_GCAT	444158	19639		1744	1826	1	0	NC_009975	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	November 13, 2007	Whitman WB	whitman@uga.edu
Bacteria	Chloroflexi	Herpetosiphonales		Herpetosiphonaceae	Herpetosiphon	Herpetosiphon aurantiacus	BACTERIAL	Herpetosiphon aurantiacus	ATCC 23779		ABI	11x		DSM 785, ATCC 23779		Genome	CHLOROFLEXI	Complete	complete	Filament-shaped, Motile, Aerobe, Mesophile	Biotechnological	None	Aquatic			Birch Lake in Minnesota	USA	50	Public	Gc00677	Gi00947		001142_GCAT	316274	16523	638341105	6346	4976	1	2	NC_009972	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	November 13, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Myxococcales		Polyangiaceae	Sorangium	Sorangium cellulosum	BACTERIAL	Sorangium (Polyangium) cellulosum	So ce56							Genome	PROTEOBACTERIA-DELTA	Complete	complete		Biotechnological	None					Germany		Public	Gc00676	Gi00561		001504_GCAT	56			13033					Bielefeld Univ	Bielefeld Univ	BMBF	Nat Biotechnol. Epub	October 28, 2007	Muller R	rom@mx.uni-saarland.de
Eukaryota	Ascomycota	Saccharomycetales		unclassified	Candida	Candida albicans	EUKARYAL	Candida albicans	SC5314		ABI	10.9x				Genome	FUNGI-ASCOMYCOTA	Quality Draft	complete	Pathogen	Medical, Human Pathogen	Oral infection, Vaginal infection					USA		Public	Gc00675	Gi00126		001975_GCAT	237561	10701	640281004	14855	6354	8	0	AACQ00000000	NCBI, Stanford Univ, Institut Pasteur, CandidaDB	Stanford Univ	Burroughs Wellcome Fund, NIH-NIDCR	PNAS 101, 7329-34	May 11, 2004	Davis RW	Dbowe@sequence.stanford.edu
